,CASE,lat1,lat1,lon1,lon2
31.82571#117.2264#CASE,1,31.82571,31.82571,117.2264,117.2264
40.18238#116.4142#CASE,2,40.18238,40.18238,116.4142,116.4142
30.05718#107.874#CASE,3,30.05718,30.05718,107.874,107.874
26.07783#117.9895#CASE,4,26.07783,26.07783,117.9895,117.9895
36.0611#103.8343#CASE,5,36.0611,36.0611,103.8343,103.8343
23.33841#113.422#CASE,6,23.33841,23.33841,113.422,113.422
23.82908#108.7881#CASE,7,23.82908,23.82908,108.7881,108.7881
26.81536#106.8748#CASE,8,26.81536,26.81536,106.8748,106.8748
19.19673#109.7455#CASE,9,19.19673,19.19673,109.7455,109.7455
38.0428#114.5149#CASE,10,38.0428,38.0428,114.5149,114.5149
47.862#127.7622#CASE,11,47.862,47.862,127.7622,127.7622
33.882020000000004#113.614#CASE,12,33.882020000000004,33.882020000000004,113.614,113.614
30.97564#112.2707#CASE,13,30.97564,30.97564,112.2707,112.2707
27.61041#111.7088#CASE,14,27.61041,27.61041,111.7088,111.7088
44.09448#113.9456#CASE,15,44.09448,44.09448,113.9456,113.9456
32.97027#119.464#CASE,16,32.97027,32.97027,119.464,119.464
27.61401#115.7221#CASE,17,27.61401,27.61401,115.7221,115.7221
43.66657#126.1917#CASE,18,43.66657,43.66657,126.1917,126.1917
41.29284000000001#122.6086#CASE,19,41.29284000000001,41.29284000000001,122.6086,122.6086
37.26923#106.1655#CASE,20,37.26923,37.26923,106.1655,106.1655
35.65945#96.02564#CASE,21,35.65945,35.65945,96.02564,96.02564
35.19165#108.8701#CASE,22,35.19165,35.19165,108.8701,108.8701
36.34377#118.1529#CASE,23,36.34377,36.34377,118.1529,118.1529
31.20327#121.4554#CASE,24,31.20327,31.20327,121.4554,121.4554
37.57769#112.2922#CASE,25,37.57769,37.57769,112.2922,112.2922
30.617140000000006#102.7103#CASE,26,30.617140000000006,30.617140000000006,102.7103,102.7103
39.29362#117.333#CASE,27,39.29362,39.29362,117.333,117.333
30.1534#88.7879#CASE,28,30.1534,30.1534,88.7879,88.7879
41.11981#85.17822#CASE,29,41.11981,41.11981,85.17822,85.17822
24.97411#101.4868#CASE,30,24.97411,24.97411,101.4868,101.4868
29.18251#120.0985#CASE,31,29.18251,29.18251,120.0985,120.0985
13.7563#100.5018#CASE,32,13.7563,13.7563,100.5018,100.5018
35.6762#139.6503#CASE,33,35.6762,35.6762,139.6503,139.6503
37.5665#126.978#CASE,34,37.5665,37.5665,126.978,126.978
23.6978#120.9605#CASE,35,23.6978,23.6978,120.9605,120.9605
47.7511#-120.74#CASE,36,47.7511,47.7511,-120.74,-120.74
40.6331#-89.3985#CASE,37,40.6331,40.6331,-89.3985,-89.3985
34.0489#-111.094#CASE,38,34.0489,34.0489,-111.094,-111.094
22.1987#113.5439#CASE,39,22.1987,22.1987,113.5439,113.5439
22.3193#114.1694#CASE,40,22.3193,22.3193,114.1694,114.1694
1.3521#103.8198#CASE,41,1.3521,1.3521,103.8198,103.8198
21.0278#105.8342#CASE,42,21.0278,21.0278,105.8342,105.8342
46.2276#2.2137#CASE,43,46.2276,46.2276,2.2137,2.2137
28.3949#84.124#CASE,44,28.3949,28.3949,84.124,84.124
4.2105#101.9758#CASE,45,4.2105,4.2105,101.9758,101.9758
43.6532#-79.3832#CASE,46,43.6532,43.6532,-79.3832,-79.3832
49.2827#-123.121#CASE,47,49.2827,49.2827,-123.121,-123.121
33.7879#-117.8531#CASE,48,33.7879,33.7879,-117.8531,-117.8531
34.0522#-118.2437#CASE,49,34.0522,34.0522,-118.2437,-118.2437
-33.8688#151.2093#CASE,50,-33.8688,-33.8688,151.2093,151.2093
-37.8136#144.9631#CASE,51,-37.8136,-37.8136,144.9631,144.9631
-27.4698#153.0251#CASE,52,-27.4698,-27.4698,153.0251,153.0251
12.5657#104.991#CASE,53,12.5657,12.5657,104.991,104.991
7.8731#80.7718#CASE,54,7.8731,7.8731,80.7718,80.7718
51.1657#10.4515#CASE,55,51.1657,51.1657,10.4515,10.4515
61.9241#25.7482#CASE,56,61.9241,61.9241,25.7482,25.7482
23.4241#53.8478#CASE,57,23.4241,23.4241,53.8478,53.8478
12.8797#121.774#CASE,58,12.8797,12.8797,121.774,121.774
20.5937#78.9629#CASE,59,20.5937,20.5937,78.9629,78.9629
42.9849#-81.2453#CASE,60,42.9849,42.9849,-81.2453,-81.2453
41.8719#12.5674#CASE,61,41.8719,41.8719,12.5674,12.5674
55.3781#-3.4360000000000004#CASE,62,55.3781,55.3781,-3.4360000000000004,-3.4360000000000004
61.524#105.3188#CASE,63,61.524,61.524,105.3188,105.3188
60.1282#18.6435#CASE,64,60.1282,60.1282,18.6435,18.6435
37.3541#-121.9552#CASE,65,37.3541,37.3541,-121.9552,-121.9552
40.4637#-3.7492#CASE,66,40.4637,40.4637,-3.7492,-3.7492
-34.9285#138.6007#CASE,67,-34.9285,-34.9285,138.6007,138.6007
42.3601#-71.0589#CASE,68,42.3601,42.3601,-71.0589,-71.0589
36.5761#-120.9876#CASE,69,36.5761,36.5761,-120.9876,-120.9876
50.5039#4.4699#CASE,70,50.5039,50.5039,4.4699,4.4699
43.0731#-89.4012#CASE,71,43.0731,43.0731,-89.4012,-89.4012
35.4437#129.638#CASE,72,35.4437,35.4437,129.638,129.638
32.7157#-117.1611#CASE,73,32.7157,32.7157,-117.1611,-117.1611
29.4241#-98.4936#CASE,74,29.4241,29.4241,-98.4936,-98.4936
